Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL			
77	105.8496	22	1	595a1_880-305308.xlsx	4857.627	0.059	0.929	0.123	39.74	4.607	39.28	4.614	4954.594	0.158	1.291	0.35	6.587	1.332	9.055	1.914	5003.224	0.158	1.291	0.35	19.76	3.997	27.16	5.741			
78	104.4192	22	1	595a1_880-309312.xlsx	4857.417	0.094	1.136	0.276	25.74	4.673	31.13	5.725	4954.125	0.071	0.656	0.127	8.094	1.63	5.651	1.178	5002.754	0.071	0.656	0.127	24.28	4.89	16.95	3.535			
79	102.9888	22	1	595a1_880-313316.xlsx	4857.502	0.077	0.663	0.261	20.36	6.398	14.37	3.985	4954.425	0.119	0.928	0.215	5.346	1.315	5.278	1.319	5003.055	0.119	0.928	0.215	16.04	3.945	15.84	3.956			
80	101.5584	22	1	595a1_880-317320.xlsx	4856.966	0.508	2.422	1.094	7.445	2.921	19.2	7.559	4954.319	0.121	0.521	0.449	6.141	4.289	3.403	1.199	5002.949	0.121	0.521	0.449	18.42	12.87	10.21	3.596			
81	100.128	22	1	595a1_880-321324.xlsx	4857.684	0.404	1.742	0.791	7.972	3.544	14.78	6.328	4953.882	0.148	0.768	0.409	5.306	2.018	4.337	1.587	5002.512	0.148	0.768	0.409	15.92	6.054	13.01	4.76			
82	98.6976	22	1	595a1_880-325328.xlsx	4857.391	0.23	1.114	0.404	9.208	3.733	10.92	4.393	4955.821	0.266	-1.01	0.367	2.874	1.094	-3.091	-1.315	5004.451	0.266	-1.01	0.367	8.622	3.282	-9.272	-3.946			
83	97.2672	22	1	595a1_880-329332.xlsx	4857.146	0	-0.193	0.158	174.7	687.5	-35.87	-111.8	4954.206	0.129	-1.022	0.378	5.213	1.469	-5.674	-1.606	5002.835	0.129	-1.022	0.378	15.64	4.406	-17.02	-4.817			
84	95.8368	22	1	595a1_880-333336.xlsx	4857.944	0.2	0.631	0.537	8.361	5.787	5.613	3.874	4954.545	0.176	1.041	0.311	4.081	1.299	4.523	1.411	5003.175	0.176	1.041	0.311	12.24	3.897	13.57	4.232			
85	94.4064	22	1	595a1_880-337340.xlsx	4857.232	0.105	0.859	0.198	18.37	4.431	16.81	4.09	4950.951	0.365	1.87	0.78	-2.553	0.9254	-5.081	-2.094	4999.581	0.365	1.87	0.78	-7.66	2.776	-15.24	-6.283			
86	92.976	22	1	595a1_880-341344.xlsx	4857.686	0.18	1.598	0.345	16.93	3.532	28.79	6.099	4954.286	0.106	0.618	0.283	5.054	1.981	3.325	1.229	5002.916	0.106	0.618	0.283	15.16	5.944	9.976	3.687			
